mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__lr,param_classifier__max_epochs,param_classifier__model_class,param_classifier__n_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2896286487579346,0.03120944703107717,0.0009191989898681641,0.0005143590197302873,0.0001,500,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.015125894546508789,0.004049965409905343,0.0010005950927734375,0.0006327115112047338,0.0001,500,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 0.0001, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.012919902801513672,0.0030604900174878128,0.0008024692535400391,0.0007494674044444778,1e-08,10,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0010021686553955077,3.6830847773222957e-06,0.0009011268615722656,0.00019748696632449568,1e-08,10,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 10, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.06030230522155762,0.0038557354317068976,0.0007996082305908204,0.0007481243802112766,1e-08,50,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.002105903625488281,0.0002048439597046957,0.0007015705108642578,0.0003994672834063381,1e-08,50,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 50, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.12170515060424805,0.01333859770353772,0.0010001659393310547,1.6723325649976905e-06,1e-08,100,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0036149024963378906,0.0003703382734545606,0.0005993366241455079,0.0004893563354154576,1e-08,100,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 100, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.4786070346832275,0.013584648264038799,0.0006564617156982422,0.0005453028641598368,1e-08,500,<class 'models.linear_svm.LinearSVM'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.linear_svm.LinearSVM'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.013720417022705078,0.0005082451027672298,0.0005997657775878906,0.0004897068537881268,1e-08,500,<class 'models.logistic_regression.LogisticRegression'>,,"{'classifier__lr': 1e-08, 'classifier__max_epochs': 500, 'classifier__model_class': <class 'models.logistic_regression.LogisticRegression'>}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
